"","sensor_index","pm2.5_cf_1_a","latitude","longitude"
"316",4058,50.963,34.10724,-118.15044
"317",40629,2.477,34.068043,-118.12962
"318",40639,21.836,33.86117,-117.96228
"319",40721,9.871,33.86297,-118.3418
"320",40725,17.67,33.802864,-118.31005
"321",40735,10.317,33.83577,-118.34111
"322",40739,9.927,33.82449,-118.348
"323",40767,13.247,33.83278,-118.326126
"324",40771,2.239,33.88965,-118.413376
"325",40787,10.755,33.83912,-118.32956
"326",40821,10.045,33.861107,-118.33463
"327",40843,6.064,34.032215,-117.17222
"328",41053,28.785,34.005733,-118.47914
"329",4109,27.303,34.20454,-118.22038
"330",41253,15.306,33.826054,-118.197136
"331",417,12.012,33.716675,-118.309906
"332",42041,7.283,33.23373,-117.118904
"333",42081,14.561,34.03872,-118.41668
"334",42251,8.119,34.14062,-118.41295
"335",42637,23.608,33.89912,-118.29489
"336",43019,9.4,34.023296,-118.380745
"337",4305,6.173,33.782753,-117.358826
"338",43413,14.905,34.139664,-117.514435
"339",4399,18.945,34.177155,-118.10009
"340",4417,15.841,33.70755,-118.291084
"341",44563,13.12,34.10921,-117.63466
"342",44571,31.923,34.085903,-117.30495
"343",4571,7.516,33.865505,-118.396164
"344",4588,6.959,33.61385,-117.63171
"345",4666,9.639,33.950623,-117.309296
"346",4670,14.04,34.054523,-118.15437
"347",46937,11.587,34.12422,-117.74908
"348",46941,23.121,34.208473,-118.20167
"349",46943,12.553,33.812927,-118.376564
"350",4708,8.3,33.94623,-117.30939
"351",4714,11.171,33.94189,-117.3111
"352",4748,28.876,33.999516,-117.41593
"353",47959,1.512,33.767105,-118.19896
"354",48063,13.791,34.11647,-117.65813
"355",48397,9.978,34.146645,-118.37487
"356",489,66.184,33.79555,-118.26094
"357",49011,5.664,34.03324,-118.69199
"358",49237,9.651,33.368134,-117.20588
"359",49239,22.948,34.13042,-118.08408
"360",49249,4.426,34.02253,-117.13088
"361",49327,18.819,34.104347,-118.271454
"362",49383,2.003,34.10431,-118.27134
"363",49479,3.234,33.83836,-118.10485
"364",49521,3.509,34.194077,-118.656906
"365",49717,1.647,33.79331,-118.38516
"366",4974,1.945,33.601303,-117.8082
"367",49919,5.09,34.231415,-118.81111
"368",49925,16.276,34.21448,-118.999374
"369",49931,31.281,34.146847,-119.18945
"370",49943,11.315,34.2171,-119.21421
"371",49947,49.049,34.16252,-119.17127
"372",49969,22.71,34.258545,-118.99781
"373",49975,9.138,34.2617,-119.09457
"374",49983,63.052,34.15984,-119.18229
"375",49985,25.192,34.170048,-119.193504
"376",50093,11.569,34.280293,-119.189415
"377",5016,69.759,33.85964,-118.200714
"378",5061,2.32,33.865353,-118.39551
"379",50789,5.22,34.095222,-118.343155
"380",51111,3.837,34.21933,-118.83298
"381",51129,8.996,34.182343,-118.851074
"382",51135,33.596,34.157986,-118.953415
"383",51195,16.027,34.216152,-118.8937
"384",51211,32.877,34.18459,-118.952065
"385",51215,6.641,34.19919,-118.853035
"386",51223,4.395,34.17182,-118.76476
"387",51323,8.148,33.994316,-118.47991
"388",51371,9.056,33.646114,-117.95861
"389",51373,16.856,34.237778,-119.02065
"390",51449,2.16,34.098125,-117.64664
"391",51455,7.847,34.295635,-118.71204
"392",51515,14.642,34.23201,-118.99979
"393",51519,20.819,34.227413,-119.068954
"394",51551,22.825,34.264187,-118.77393
"395",51565,3.902,34.256332,-118.754616
"396",51571,13.064,34.212307,-119.02193
"397",51575,21.962,34.27373,-118.79522
"398",51577,15.7,34.24206,-119.04661
"399",51581,4.256,34.179497,-118.776436
"400",51679,5.764,34.24371,-118.879715
"401",51681,5.934,34.217396,-118.85791
"402",51683,9.74,34.269867,-118.73808
